Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.00,0.00,0.00,0.00
Crossing Minimization,0.99,0.99,0.99,0.99
Graceful Graphs,1.00,1.00,0.87,0.91
Graph Colouring,0.72,0.72,0.96,0.81
Incremental Scheduling,0.95,0.95,0.94,0.94
Knight Tour,1.00,1.00,1.00,1.00
Knight Tour With Holes,0.93,0.93,0.65,0.74
Labyrinth,0.98,0.98,0.78,0.82
Maximal Clique Problem,1.00,1.00,1.00,1.00
Nomystery,1.00,1.00,0.99,0.99
Partner Units,0.69,0.69,0.55,0.61
Permutation Pattern Matching,0.63,0.63,0.42,0.45
Ricochet Robots,0.96,0.96,0.65,0.78
Sokoban,0.81,0.81,0.84,0.83
Stable Marriage,0.98,0.98,0.98,0.98
Valves Location Problem,0.00,0.00,0.00,0.00
Overall Results,0.79,0.79,0.73,0.74
