problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,160,11605,5.0,5.0,0.0,0.0,5,5,362.65625,360.0,4.209125071908382,17.71673387096774,358,367,1.0,1.0,1.0,1.0
Crossing Minimization,32,11773,78544,367.90625,372.0,77.2258352955588,5963.829637096775,242,498,2454.5,2463.0,152.7544941527776,23333.935483870966,2205,2709,0.38,0.38,0.39,0.38
Graceful Graphs,32,1568,14391,49.0,49.0,0.0,0.0,49,49,449.71875,450.0,2.0515041688572584,4.20866935483871,446,453,1.0,1.0,1.0,1.0
Graph Colouring,32,16856,78096,526.75,563.0,130.00496268443234,16901.290322580644,171,696,2440.5,2412.0,302.85959698162276,91723.93548387097,1629,2820,0.95,0.95,0.94,0.95
Incremental Scheduling,32,21237,413162,663.65625,666.5,75.60705265575642,5716.426411290323,547,861,12911.3125,12028.0,1206.1739680199669,1454855.6411290322,11678,14492,0.7,0.7,0.93,0.8
Knight Tour,32,32450,25878,1014.0625,45.0,3693.0385071540454,13638533.415322581,5,16253,808.6875,848.0,127.03757064285632,16138.54435483871,360,915,0.89,0.89,0.96,0.91
Knight Tour With Holes,32,1640,29816,51.25,57.0,11.508762440124732,132.4516129032258,27,62,931.75,933.0,6.319452814205336,39.935483870967744,909,941,0.73,0.73,0.6,0.65
Labyrinth,32,35223,104856,1100.71875,974.0,708.1021082909788,501408.59576612903,344,3145,3276.75,3275.5,6.956083436402524,48.38709677419355,3258,3293,1.0,1.0,0.71,0.75
Maximal Clique Problem,32,3435,31954,107.34375,108.0,9.338126409441546,87.20060483870968,78,119,998.5625,1003.0,14.615364209206074,213.60887096774192,959,1021,1.0,1.0,0.99,1.0
Nomystery,32,5717,104551,178.65625,181.0,15.17767752857104,230.36189516129033,151,211,3267.21875,3318.0,140.40901872857947,19714.69254032258,3013,3428,0.99,0.99,0.9,0.94
Partner Units,32,5472,50043,171.0,168.0,12.971432631599681,168.25806451612902,168,240,1563.84375,1560.0,14.721302044009821,216.71673387096774,1557,1638,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,3668,56916,114.625,112.0,18.66642664976261,348.43548387096774,90,152,1778.625,1780.5,35.86061726975348,1285.983870967742,1701,1851,0.47,0.47,0.53,0.49
Ricochet Robots,32,4551,100784,142.21875,151.0,15.729024691376624,247.4022177419355,123,180,3149.5,3142.0,36.65444566620499,1343.5483870967741,3102,3247,0.88,0.88,0.77,0.81
Sokoban,32,13430,234801,419.6875,413.0,38.59336187280348,1489.4475806451612,366,537,7337.53125,7258.5,374.0407933915333,139906.51512096773,6930,8433,0.93,0.93,0.99,0.96
Stable Marriage,32,5523,40290,172.59375,178.0,10.579527933245537,111.92641129032258,156,201,1259.0625,1257.0,9.96101270923536,99.22177419354838,1233,1279,0.96,0.96,0.93,0.95
Valves Location Problem,32,4988,129640,155.875,149.0,23.527266268406876,553.5322580645161,113,221,4051.25,4046.0,68.01470429252781,4626.0,3923,4199,0.95,0.95,0.8,0.87
