problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,1074,3573,33.5625,22.0,15.70070370315272,246.51209677419354,22,66,111.65625,109.0,4.209125071908382,17.71673387096774,107,116,1.0,1.0,1.0,1.0
Crossing Minimization,32,16893,14316,527.90625,525.5,77.33978627021528,5981.4425403225805,379,711,447.375,449.5,38.1886235381944,1458.3709677419354,385,511,0.95,0.95,0.99,0.97
Graceful Graphs,32,11850,5527,370.3125,391.5,168.5424111457965,28406.54435483871,72,744,172.71875,173.0,2.0515041688572584,4.20866935483871,169,176,0.81,0.81,0.89,0.81
Graph Colouring,32,35217,19408,1100.53125,1136.0,364.4236266175628,132804.5796370968,446,1842,606.5,597.0,100.95319899387425,10191.548387096775,336,733,0.71,0.71,0.96,0.81
Incremental Scheduling,32,28472,28067,889.75,883.0,162.767199675864,26493.16129032258,648,1567,877.09375,814.0,86.15528342999764,7422.732862903225,789,990,0.9,0.9,0.97,0.93
Knight Tour,32,6464,6912,202.0,214.5,126.2715966836258,15944.516129032258,36,432,216.0,223.5,26.314475349191856,692.4516129032259,174,257,0.88,0.88,1.0,0.93
Knight Tour With Holes,32,10729,8428,335.28125,324.0,110.92317433628877,12303.95060483871,119,660,263.375,264.0,3.159726407102668,9.983870967741936,252,268,0.65,0.65,0.7,0.67
Labyrinth,32,27687,22520,865.21875,849.0,112.19819283663374,12588.43447580645,714,1371,703.75,703.5,1.3912166872805047,1.935483870967742,700,707,0.97,0.97,0.19,0.3
Maximal Clique Problem,32,15176,10233,474.25,521.5,189.02158948205516,35729.16129032258,155,862,319.78125,322.0,7.307682104603037,53.40221774193548,300,331,0.74,0.74,1.0,0.85
Nomystery,32,11524,17915,360.125,347.5,63.91867312604,4085.5967741935483,269,646,559.84375,570.0,28.08180374571589,788.5877016129032,509,592,0.99,0.99,0.98,0.98
Partner Units,32,6973,9193,217.90625,192.0,69.14051115126402,4780.410282258064,157,433,287.28125,286.0,4.907100681336607,24.079637096774192,285,312,0.81,0.81,0.7,0.74
Permutation Pattern Matching,32,18675,10908,583.59375,579.0,137.49272341449742,18904.248991935485,384,1034,340.875,341.5,11.953539089917829,142.88709677419354,315,365,0.9,0.9,0.88,0.88
Ricochet Robots,32,10920,22032,341.25,283.5,188.0264223024811,35353.93548387097,162,973,688.5,687.0,7.3308891332409996,53.74193548387097,679,708,0.8,0.8,0.6,0.68
Sokoban,32,25099,28105,784.34375,695.5,509.95430594635224,260053.39415322582,525,3518,878.28125,869.5,41.56008815461482,1727.2409274193549,833,1000,0.8,0.8,0.87,0.83
Stable Marriage,32,14507,15457,453.34375,343.5,231.88298069041412,53769.71673387097,249,950,483.03125,482.0,4.98050635461768,24.805443548387096,470,493,0.95,0.95,0.98,0.96
Valves Location Problem,32,9140,16108,285.625,260.5,55.200952539701,3047.1451612903224,238,454,503.375,502.5,11.335784048754634,128.5,482,528,0.94,0.94,1.0,0.97
