problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,128,5365,4.0,4.0,0.0,0.0,4,4,167.65625,165.0,4.209125071908382,17.71673387096774,163,172,1.0,1.0,1.0,1.0
Crossing Minimization,32,11840,16108,370.0,370.0,82.36347452289681,6783.741935483871,238,510,503.375,505.5,38.1886235381944,1458.3709677419354,441,567,0.93,0.93,0.98,0.96
Graceful Graphs,32,1464,7319,45.75,48.0,7.733463106067244,59.806451612903224,12,48,228.71875,229.0,2.0515041688572584,4.20866935483871,225,232,1.0,1.0,0.95,0.97
Graph Colouring,32,27159,21200,848.71875,828.5,266.96069958135735,71268.01512096774,276,1353,662.5,653.0,100.95319899387425,10191.548387096775,392,789,0.6,0.6,0.88,0.71
Incremental Scheduling,32,18018,29859,563.0625,554.5,144.43660011095838,20861.9314516129,392,887,933.09375,870.0,86.15528342999764,7422.732862903225,845,1046,0.83,0.83,0.97,0.89
Knight Tour,32,1181,8704,36.90625,43.0,20.61687278780143,425.0554435483871,4,69,272.0,279.5,26.314475349191856,692.4516129032259,230,313,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,1449,10220,45.28125,49.5,15.479923261875312,239.62802419354838,18,60,319.375,320.0,3.159726407102668,9.983870967741936,308,324,0.99,0.99,0.77,0.84
Labyrinth,32,56369,24312,1761.53125,1682.5,767.7724370677602,589474.5151209678,843,3293,759.75,759.5,1.3912166872805047,1.935483870967742,756,763,1.0,1.0,0.99,1.0
Maximal Clique Problem,32,3392,12025,106.0,106.0,8.75472222805056,76.64516129032258,86,121,375.78125,378.0,7.307682104603037,53.40221774193548,356,387,1.0,1.0,1.0,1.0
Nomystery,32,6021,19707,188.15625,188.0,16.098706369587386,259.16834677419354,158,206,615.84375,626.0,28.08180374571589,788.5877016129032,565,648,0.99,0.99,0.97,0.98
Partner Units,32,4571,10985,142.84375,130.0,22.92358888610932,525.4909274193549,130,237,343.28125,342.0,4.907100681336607,24.079637096774192,341,368,0.28,0.28,0.24,0.25
Permutation Pattern Matching,32,2957,12700,92.40625,101.0,26.1988172289046,686.3780241935484,47,149,396.875,397.5,11.953539089917829,142.88709677419354,371,421,0.56,0.56,0.55,0.55
Ricochet Robots,32,4053,23824,126.65625,120.0,22.192136612308307,492.4909274193548,111,192,744.5,743.0,7.3308891332409996,53.74193548387097,735,764,0.93,0.93,0.66,0.77
Sokoban,32,12925,29897,403.90625,392.0,37.012952724078076,1369.9586693548388,329,492,934.28125,925.5,41.56008815461482,1727.2409274193549,889,1056,0.93,0.93,0.97,0.95
Stable Marriage,32,5634,17249,176.0625,176.0,0.3535533905932738,0.125,176,178,539.03125,538.0,4.98050635461768,24.805443548387096,526,549,0.97,0.97,0.97,0.97
Valves Location Problem,32,5451,17900,170.34375,166.0,16.155712811622177,261.0070564516129,153,233,559.375,558.5,11.335784048754634,128.5,538,584,0.99,0.99,0.99,0.99
