problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,129,19573,4.03125,4.0,0.1767766952966369,0.03125,4,5,611.65625,609.0,4.209125071908382,17.71673387096774,607,616,0.97,0.97,0.97,0.97
Crossing Minimization,32,11526,141200,360.1875,362.0,75.77915174181932,5742.479838709677,238,493,4412.5,4421.0,152.7544941527776,23333.935483870966,4163,4667,0.99,0.99,1.0,1.0
Graceful Graphs,32,1536,19799,48.0,48.0,0.0,0.0,48,48,618.71875,619.0,2.0515041688572584,4.20866935483871,615,622,1.0,1.0,1.0,1.0
Graph Colouring,32,17233,99728,538.53125,558.0,138.28441574196557,19122.579637096773,228,905,3116.5,3088.0,302.85959698162276,91723.93548387097,2305,3496,0.95,0.95,0.98,0.96
Incremental Scheduling,32,16288,851850,509.0,477.0,78.90377970422522,6225.806451612903,414,698,26620.3125,25737.0,1206.1739680199669,1454855.6411290322,25387,28201,0.89,0.89,0.97,0.93
Knight Tour,32,1197,40928,37.40625,43.0,19.795501892129188,391.8618951612903,6,69,1279.0,1294.0,52.62895069838371,2769.8064516129034,1195,1361,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,1899,43480,59.34375,60.0,2.073012067562093,4.297379032258065,53,60,1358.75,1360.0,6.319452814205336,39.935483870967744,1336,1368,1.0,1.0,1.0,1.0
Labyrinth,32,56652,228952,1770.375,1593.0,789.6944999338709,623617.4032258064,843,3147,7154.75,7153.5,6.956083436402524,48.38709677419355,7136,7171,1.0,1.0,1.0,1.0
Maximal Clique Problem,32,3395,54162,106.09375,106.0,8.263246940519204,68.28125,86,121,1692.5625,1697.0,14.615364209206074,213.60887096774192,1653,1715,1.0,1.0,1.0,1.0
Nomystery,32,6264,230788,195.75,197.0,22.060035387331602,486.64516129032256,158,242,7212.125,7264.0,139.8025681613758,19544.75806451613,6954,7374,0.97,0.97,0.99,0.98
Partner Units,32,5784,82939,180.75,165.0,32.60615417866052,1063.1612903225807,165,325,2591.84375,2588.0,14.721302044009821,216.71673387096774,2585,2666,0.99,0.99,1.0,0.99
Permutation Pattern Matching,32,3373,91732,105.40625,101.0,10.906817563104221,118.9586693548387,93,149,2866.625,2868.5,35.86061726975348,1285.983870967742,2789,2939,0.85,0.85,0.88,0.86
Ricochet Robots,32,4886,198416,152.6875,148.0,16.199238333349047,262.4153225806452,139,211,6200.5,6193.0,36.65444566620499,1343.5483870967741,6153,6298,0.89,0.89,0.91,0.9
Sokoban,32,13250,442161,414.0625,406.0,43.29936116641162,1874.8346774193549,359,559,13817.53125,13738.5,374.0407933915333,139906.51512096773,13410,14913,0.93,0.93,0.99,0.96
Stable Marriage,32,5533,75458,172.90625,176.0,16.10722013019567,259.44254032258067,143,242,2358.0625,2356.0,9.96101270923536,99.22177419354838,2332,2378,0.96,0.96,0.94,0.95
Valves Location Problem,32,5918,247018,184.9375,186.0,15.921050176093203,253.4798387096774,161,221,7719.3125,7712.0,67.83492178003323,4601.576612903225,7595,7865,0.95,0.95,0.99,0.97
