problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,800,21205,25.0,25.0,0.0,0.0,25,25,662.65625,660.0,4.209125071908382,17.71673387096774,658,667,1.0,1.0,1.0,1.0
Crossing Minimization,32,35024,147728,1094.5,1105.0,220.74536490950894,48728.51612903226,749,1461,4616.5,4625.0,152.7544941527776,23333.935483870966,4367,4871,1.0,1.0,1.0,1.0
Graceful Graphs,32,4820,21431,150.625,154.0,19.091883092036785,364.5,46,154,669.71875,670.0,2.0515041688572584,4.20866935483871,666,673,1.0,1.0,0.98,0.98
Graph Colouring,32,69908,104624,2184.625,2093.0,652.7658647582213,426103.27419354836,907,3203,3269.5,3241.0,302.85959698162276,91723.93548387097,2458,3649,0.8,0.8,0.98,0.88
Incremental Scheduling,32,52859,874122,1651.84375,1598.0,199.2983028228402,39719.813508064515,1351,2027,27316.3125,26433.0,1206.1739680199669,1454855.6411290322,26083,28897,0.88,0.88,0.99,0.93
Knight Tour,32,3427,44192,107.09375,116.0,36.7145566411313,1347.9586693548388,50,170,1381.0,1396.0,52.62895069838371,2769.8064516129034,1297,1463,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,5946,46744,185.8125,187.0,4.672759079960665,21.83467741935484,168,187,1460.75,1462.0,6.319452814205336,39.935483870967744,1438,1470,1.0,1.0,1.0,1.0
Labyrinth,32,162738,235631,5085.5625,4565.0,2380.207498917526,5665387.737903226,766,9488,7363.46875,7406.0,260.7560947080995,67993.74092741935,5935,7426,1.0,1.0,0.97,0.97
Maximal Clique Problem,32,11111,57426,347.21875,344.0,22.838471186334523,521.5957661290323,301,391,1794.5625,1799.0,14.615364209206074,213.60887096774192,1755,1817,1.0,1.0,1.0,1.0
Nomystery,32,20868,238695,652.125,681.0,54.5407512635011,2974.6935483870966,561,721,7459.21875,7510.0,140.40901872857947,19714.69254032258,7205,7620,1.0,1.0,1.0,1.0
Partner Units,32,15868,88411,495.875,474.0,80.87894179455151,6541.403225806452,474,902,2762.84375,2759.0,14.721302044009821,216.71673387096774,2756,2837,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,10792,96724,337.25,334.0,11.296588123225812,127.61290322580645,334,388,3022.625,3024.5,35.86061726975348,1285.983870967742,2945,3095,0.99,0.99,1.0,0.99
Ricochet Robots,32,14912,206384,466.0,466.0,0.0,0.0,466,466,6449.5,6442.0,36.65444566620499,1343.5483870967741,6402,6547,1.0,1.0,1.0,1.0
Sokoban,32,34646,456369,1082.6875,1061.0,98.3854950953711,9679.70564516129,952,1373,14261.53125,14182.5,374.0407933915333,139906.51512096773,13854,15357,0.93,0.93,1.0,0.96
Stable Marriage,32,13617,78626,425.53125,436.0,17.26264730380262,297.99899193548384,384,462,2457.0625,2455.0,9.96101270923536,99.22177419354838,2431,2477,0.99,0.99,0.96,0.98
Valves Location Problem,32,19984,256744,624.5,627.5,51.64206837265963,2666.9032258064517,542,728,8023.25,8018.0,68.01470429252781,4626.0,7895,8171,0.91,0.91,1.0,0.95
