problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,352,16373,11.0,11.0,0.0,0.0,11,11,511.65625,509.0,4.209125071908382,17.71673387096774,507,516,1.0,1.0,1.0,1.0
Crossing Minimization,32,15749,127824,492.15625,492.5,109.919357353324,12082.265120967742,319,870,3994.5,4003.0,152.7544941527776,23333.935483870966,3745,4249,0.99,0.99,1.0,0.99
Graceful Graphs,32,3360,16471,105.0,105.0,0.0,0.0,105,105,514.71875,515.0,2.0515041688572584,4.20866935483871,511,518,1.0,1.0,1.0,1.0
Graph Colouring,32,44261,90000,1383.15625,1068.5,1415.3880377405455,2003323.2973790322,517,8489,2812.5,2784.0,302.85959698162276,91723.93548387097,2001,3192,0.73,0.73,0.94,0.81
Incremental Scheduling,32,26424,804266,825.75,790.0,131.49561503789224,17291.09677419355,656,1067,25133.3125,24250.0,1206.1739680199669,1454855.6411290322,23900,26714,0.8,0.8,0.99,0.88
Knight Tour,32,1979,33760,61.84375,69.0,27.270578941534254,743.6844758064516,19,107,1055.0,1070.0,52.62895069838371,2769.8064516129034,971,1137,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,3696,36984,115.5,116.0,3.72437481222493,13.870967741935484,103,126,1155.75,1157.0,6.319452814205336,39.935483870967744,1133,1165,1.0,1.0,1.0,1.0
Labyrinth,32,82698,212376,2584.3125,1889.0,2454.821331616884,6026147.770161291,1066,14950,6636.75,6635.5,6.956083436402524,48.38709677419355,6618,6653,0.97,0.97,1.0,0.98
Maximal Clique Problem,32,5095,47634,159.21875,138.5,52.21774162411259,2726.6925403225805,108,328,1488.5625,1493.0,14.615364209206074,213.60887096774192,1449,1511,0.97,0.97,1.0,0.98
Nomystery,32,10669,213831,333.40625,331.0,38.366533951079745,1471.9909274193549,255,379,6682.21875,6733.0,140.40901872857947,19714.69254032258,6428,6843,1.0,1.0,1.0,1.0
Partner Units,32,9720,73467,303.75,271.0,55.66837290540728,3098.967741935484,228,438,2295.84375,2292.0,14.721302044009821,216.71673387096774,2289,2370,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,5407,81972,168.96875,164.0,45.721093018148565,2090.4183467741937,129,393,2561.625,2563.5,35.86061726975348,1285.983870967742,2484,2634,0.96,0.96,0.99,0.97
Ricochet Robots,32,9605,181744,300.15625,242.0,103.6915741047583,10751.942540322581,229,580,5679.5,5672.0,36.65444566620499,1343.5483870967741,5632,5777,0.94,0.94,0.97,0.95
Sokoban,32,21818,412209,681.8125,701.0,116.55967252040698,13586.157258064517,513,882,12881.53125,12802.5,374.0407933915333,139906.51512096773,12474,13977,0.85,0.85,1.0,0.91
Stable Marriage,32,8715,68002,272.34375,274.0,15.2434213732118,232.36189516129033,232,325,2125.0625,2123.0,9.96101270923536,99.22177419354838,2099,2145,0.98,0.98,0.97,0.98
Valves Location Problem,32,9568,227176,299.0,281.0,50.08444481975642,2508.451612903226,251,474,7099.25,7094.0,68.01470429252781,4626.0,6971,7247,0.93,0.93,1.0,0.96
