problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,352,16373,11.0,11.0,0.0,0.0,11,11,511.65625,509.0,4.209125071908382,17.71673387096774,507,516,1.0,1.0,1.0,1.0
Crossing Minimization,32,16713,127824,522.28125,493.0,154.79960706272544,23962.918346774193,343,889,3994.5,4003.0,152.7544941527776,23333.935483870966,3745,4249,0.99,0.99,0.98,0.98
Graceful Graphs,32,3404,16471,106.375,105.0,7.7781745930520225,60.5,105,149,514.71875,515.0,2.0515041688572584,4.20866935483871,511,518,0.98,0.98,1.0,0.99
Graph Colouring,32,40228,90000,1257.125,1186.5,649.986091662613,422481.9193548387,517,3324,2812.5,2784.0,302.85959698162276,91723.93548387097,2001,3192,0.7,0.7,0.94,0.79
Incremental Scheduling,32,27201,804266,850.03125,878.0,139.52233822188913,19466.482862903227,625,1180,25133.3125,24250.0,1206.1739680199669,1454855.6411290322,23900,26714,0.8,0.8,0.99,0.88
Knight Tour,32,1960,33760,61.25,69.0,27.059075157645296,732.1935483870968,19,107,1055.0,1070.0,52.62895069838371,2769.8064516129034,971,1137,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,3686,36984,115.1875,116.0,3.1971509494467707,10.221774193548388,103,116,1155.75,1157.0,6.319452814205336,39.935483870967744,1133,1165,1.0,1.0,1.0,1.0
Labyrinth,32,74997,212376,2343.65625,2193.5,1369.0942286988327,1874419.0070564516,1025,6575,6636.75,6635.5,6.956083436402524,48.38709677419355,6618,6653,1.0,1.0,1.0,1.0
Maximal Clique Problem,32,4832,47634,151.0,137.0,44.20188289669235,1953.8064516129032,108,351,1488.5625,1493.0,14.615364209206074,213.60887096774192,1449,1511,0.99,0.99,1.0,0.99
Nomystery,32,10651,213831,332.84375,331.0,34.86389145547804,1215.4909274193549,265,381,6682.21875,6733.0,140.40901872857947,19714.69254032258,6428,6843,0.99,0.99,1.0,1.0
Partner Units,32,10042,73467,313.8125,312.0,52.513247176614954,2757.641129032258,242,426,2295.84375,2292.0,14.721302044009821,216.71673387096774,2289,2370,1.0,1.0,0.99,0.99
Permutation Pattern Matching,32,5181,81972,161.90625,164.0,17.966562805173893,322.79737903225805,130,217,2561.625,2563.5,35.86061726975348,1285.983870967742,2484,2634,0.96,0.96,0.99,0.97
Ricochet Robots,32,9153,181744,286.03125,242.0,104.94160722715921,11012.740927419354,229,717,5679.5,5672.0,36.65444566620499,1343.5483870967741,5632,5777,0.94,0.94,0.96,0.95
Sokoban,32,21458,412209,670.5625,668.5,129.9205557502415,16879.350806451614,513,946,12881.53125,12802.5,374.0407933915333,139906.51512096773,12474,13977,0.86,0.86,1.0,0.92
Stable Marriage,32,8775,68002,274.21875,274.0,12.998100047264971,168.95060483870967,240,325,2125.0625,2123.0,9.96101270923536,99.22177419354838,2099,2145,0.98,0.98,0.98,0.98
Valves Location Problem,32,9687,227176,302.71875,287.0,51.584715400040984,2660.982862903226,245,483,7099.25,7094.0,68.01470429252781,4626.0,6971,7247,0.93,0.93,1.0,0.96
