problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,181,10581,5.65625,6.0,0.48255870443481425,0.23286290322580644,5,6,330.65625,328.0,4.209125071908382,17.71673387096774,326,335,0.34,0.34,0.34,0.34
Crossing Minimization,32,11812,26284,369.125,379.0,82.98299476010033,6886.177419354839,239,515,821.375,823.5,38.1886235381944,1458.3709677419354,759,885,0.93,0.93,0.97,0.95
Graceful Graphs,32,1568,10519,49.0,49.0,0.0,0.0,49,49,328.71875,329.0,2.0515041688572584,4.20866935483871,325,332,1.0,1.0,1.0,1.0
Graph Colouring,32,24924,23952,778.875,737.0,266.70616306968765,71132.17741935483,277,1277,748.5,739.0,100.95319899387425,10191.548387096775,478,875,0.51,0.51,0.66,0.57
Incremental Scheduling,32,15902,51299,496.9375,510.0,91.14290002960433,8307.02822580645,341,737,1603.09375,1540.0,86.15528342999764,7422.732862903225,1515,1716,0.73,0.73,0.74,0.73
Knight Tour,32,1213,10656,37.90625,44.0,20.61687278780143,425.0554435483871,5,70,333.0,340.5,26.314475349191856,692.4516129032259,291,374,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,1938,12524,60.5625,61.0,1.7215428189328765,2.963709677419355,54,61,391.375,392.0,3.159726407102668,9.983870967741936,380,396,1.0,1.0,1.0,1.0
Labyrinth,32,61783,36312,1930.71875,1594.0,1166.27361461761,1360194.1441532257,844,5365,1134.75,1134.5,1.3912166872805047,1.935483870967742,1131,1138,0.99,0.99,1.0,0.99
Maximal Clique Problem,32,3471,17689,108.46875,107.5,9.915723502631826,98.32157258064517,87,141,552.78125,555.0,7.307682104603037,53.40221774193548,533,564,0.99,0.99,1.0,0.99
Nomystery,32,6078,36635,189.9375,190.5,15.624499991999745,244.125,159,207,1144.84375,1155.0,28.08180374571589,788.5877016129032,1094,1177,0.99,0.99,0.98,0.98
Partner Units,32,4281,18057,133.78125,166.0,96.03149160057995,9222.047379032258,9,286,564.28125,563.0,4.907100681336607,24.079637096774192,562,589,0.14,0.14,0.14,0.14
Permutation Pattern Matching,32,3247,20924,101.46875,102.0,3.5010079193873445,12.257056451612904,90,111,653.875,654.5,11.953539089917829,142.88709677419354,628,678,0.94,0.94,0.93,0.93
Ricochet Robots,32,3875,29936,121.09375,120.0,13.091142967424517,171.37802419354838,110,191,935.5,934.0,7.3308891332409996,53.74193548387097,926,955,0.94,0.94,0.64,0.76
Sokoban,32,12788,39401,399.625,390.0,40.723101155756,1658.3709677419354,358,555,1231.28125,1222.5,41.56008815461482,1727.2409274193549,1186,1353,0.97,0.97,0.99,0.98
Stable Marriage,32,5664,27393,177.0,177.0,0.0,0.0,177,177,856.03125,855.0,4.98050635461768,24.805443548387096,843,866,0.98,0.98,0.98,0.98
Valves Location Problem,27,4772,26837,176.74074074074073,172.0,15.21535811300945,231.50712250712252,162,240,993.9629629629629,993.0,11.959809239157495,143.037037037037,972,1018,0.86,0.86,0.88,0.87
