problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,160,8821,5.0,5.0,0.0,0.0,5,5,275.65625,273.0,4.209125071908382,17.71673387096774,271,280,1.0,1.0,1.0,1.0
Crossing Minimization,32,11760,24524,367.5,363.0,81.73442438184941,6680.5161290322585,239,511,766.375,768.5,38.1886235381944,1458.3709677419354,704,830,0.96,0.96,0.99,0.97
Graceful Graphs,32,1568,8759,49.0,49.0,0.0,0.0,49,49,273.71875,274.0,2.0515041688572584,4.20866935483871,270,277,1.0,1.0,1.0,1.0
Graph Colouring,32,28546,22192,892.0625,771.5,633.9150211442052,401848.25403225806,273,4096,693.5,684.0,100.95319899387425,10191.548387096775,423,820,0.62,0.62,0.86,0.71
Incremental Scheduling,32,21404,49539,668.875,438.5,774.0252038073645,599115.0161290322,357,4096,1548.09375,1485.0,86.15528342999764,7422.732862903225,1460,1661,0.87,0.87,0.88,0.87
Knight Tour,32,9395,8896,293.59375,44.0,997.6621982891611,995329.8618951613,5,4096,278.0,285.5,26.314475349191856,692.4516129032259,236,319,0.94,0.94,1.0,0.94
Knight Tour With Holes,32,1938,10764,60.5625,61.0,1.7215428189328765,2.963709677419355,54,61,336.375,337.0,3.159726407102668,9.983870967741936,325,341,1.0,1.0,1.0,1.0
Labyrinth,32,74872,34552,2339.75,1980.5,1260.7926334318936,1589598.064516129,844,4096,1079.75,1079.5,1.3912166872805047,1.935483870967742,1076,1083,0.85,0.85,0.93,0.88
Maximal Clique Problem,32,4046,15929,126.4375,114.5,28.70308233420012,823.866935483871,87,177,497.78125,500.0,7.307682104603037,53.40221774193548,478,509,0.9,0.9,1.0,0.94
Nomystery,32,6128,34875,191.5,196.5,15.556349186104045,242.0,165,207,1089.84375,1100.0,28.08180374571589,788.5877016129032,1039,1122,0.99,0.99,0.98,0.99
Partner Units,32,5408,16297,169.0,166.0,12.971432631599681,168.25806451612902,166,238,509.28125,508.0,4.907100681336607,24.079637096774192,507,534,0.39,0.39,0.39,0.39
Permutation Pattern Matching,32,3348,19164,104.625,102.0,17.305136287688804,299.46774193548384,90,186,598.875,599.5,11.953539089917829,142.88709677419354,573,623,0.92,0.92,0.91,0.91
Ricochet Robots,32,3957,28176,123.65625,120.0,17.801068063280596,316.8780241935484,111,191,880.5,879.0,7.3308891332409996,53.74193548387097,871,900,0.9,0.9,0.62,0.73
Sokoban,32,12794,37641,399.8125,395.5,33.60437519517458,1129.2540322580646,358,506,1176.28125,1167.5,41.56008815461482,1727.2409274193549,1131,1298,0.96,0.96,0.99,0.97
Stable Marriage,32,5653,25633,176.65625,177.0,1.9445436482630056,3.78125,166,177,801.03125,800.0,4.98050635461768,24.805443548387096,788,811,0.97,0.97,0.97,0.97
Valves Location Problem,32,5342,30028,166.9375,166.0,9.048034896256256,81.86693548387096,156,204,938.375,937.5,11.335784048754634,128.5,917,963,0.99,0.99,0.99,0.99
