problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,160,19637,5.0,5.0,0.0,0.0,5,5,613.65625,611.0,4.209125071908382,17.71673387096774,609,618,1.0,1.0,1.0,1.0
Graceful Graphs,32,1544,19863,48.25,49.0,4.242640687119285,18.0,25,49,620.71875,621.0,2.0515041688572584,4.20866935483871,617,624,1.0,1.0,0.98,0.99
Incremental Scheduling,32,37615,835685,1175.46875,637.5,3042.9830756992283,9259745.998991935,459,17845,26115.15625,25733.0,1878.029030477036,3526993.0393145164,21831,28211,0.69,0.69,0.85,0.76
Graph Colouring,32,23376,99920,730.5,673.5,260.15628057492796,67681.29032258065,279,1311,3122.5,3094.0,302.85959698162276,91723.93548387097,2311,3502,0.74,0.74,0.94,0.82
Crossing Minimization,32,11604,141456,362.625,366.0,76.73277888124937,5887.919354838709,242,490,4420.5,4429.0,152.7544941527776,23333.935483870966,4171,4675,0.52,0.52,0.52,0.52
Knight Tour,32,5923,41056,185.09375,45.0,816.0497438733784,665937.1844758064,10,4656,1283.0,1298.0,52.62895069838371,2769.8064516129034,1199,1365,0.98,0.98,1.0,0.99
Knight Tour With Holes,32,1970,43608,61.5625,62.0,1.7215428189328765,2.963709677419355,55,62,1362.75,1364.0,6.319452814205336,39.935483870967744,1340,1372,1.0,1.0,1.0,1.0
Labyrinth,32,56784,229272,1774.5,1594.5,788.5730272808212,621847.4193548387,848,3152,7164.75,7163.5,6.956083436402524,48.38709677419355,7146,7181,1.0,1.0,1.0,1.0
Maximal Clique Problem,32,3509,54290,109.65625,108.5,11.646983203470995,135.6522177419355,88,157,1696.5625,1701.0,14.615364209206074,213.60887096774192,1657,1719,0.99,0.99,1.0,0.99
Nomystery,32,6377,230855,199.28125,205.0,19.904991066434537,396.2086693548387,169,250,7214.21875,7265.0,140.40901872857947,19714.69254032258,6960,7375,0.99,0.99,1.0,0.99
Partner Units,32,5472,83707,171.0,168.0,12.971432631599681,168.25806451612902,168,240,2615.84375,2612.0,14.721302044009821,216.71673387096774,2609,2690,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,3624,92020,113.25,112.0,14.51584229107477,210.70967741935485,96,182,2875.625,2877.5,35.86061726975348,1285.983870967742,2798,2948,0.52,0.52,0.52,0.52
Ricochet Robots,32,13272,198544,414.75,158.5,978.0899424305879,956659.9354838709,151,5167,6204.5,6197.0,36.65444566620499,1343.5483870967741,6157,6302,0.83,0.83,0.87,0.85
Sokoban,32,13617,442257,425.53125,413.0,49.08451196167819,2409.2893145161293,366,583,13820.53125,13741.5,374.0407933915333,139906.51512096773,13413,14916,0.9,0.9,0.97,0.93
Stable Marriage,32,5613,75490,175.40625,178.0,5.701495983653142,32.507056451612904,156,181,2359.0625,2357.0,9.96101270923536,99.22177419354838,2333,2379,1.0,1.0,0.98,0.99
Valves Location Problem,32,6278,247336,196.1875,196.0,19.449583294317147,378.28629032258067,167,225,7729.25,7724.0,68.01470429252781,4626.0,7601,7877,0.94,0.94,1.0,0.97
