Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.53,0.53,0.50,0.51
Graceful Graphs,0.98,0.98,0.75,0.83
Graph Colouring,0.94,0.94,0.85,0.88
Incremental Scheduling,0.48,0.48,0.65,0.55
Knight Tour,0.80,0.80,0.88,0.81
Knight Tour With Holes,0.67,0.67,0.62,0.63
Labyrinth,0.95,0.95,0.39,0.47
Maximal Clique Problem,0.98,0.98,0.93,0.95
Nomystery,0.92,0.92,0.77,0.84
Partner Units,0.86,0.86,0.83,0.84
Permutation Pattern Matching,0.32,0.32,0.63,0.41
Ricochet Robots,0.47,0.47,0.40,0.43
Sokoban,0.85,0.85,0.75,0.80
Stable Marriage,0.51,0.51,0.62,0.55
Valves Location Problem,0.81,0.81,0.76,0.78
Overall Results,0.75,0.75,0.71,0.71
