Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.48,0.48,0.50,0.49
Crossing Minimization,0.88,0.88,0.89,0.88
Graceful Graphs,0.99,0.99,0.84,0.90
Graph Colouring,0.94,0.94,0.91,0.92
Incremental Scheduling,0.37,0.37,0.71,0.49
Knight Tour,0.72,0.72,1.00,0.75
Knight Tour With Holes,0.85,0.85,0.83,0.84
Labyrinth,0.87,0.87,0.37,0.46
Maximal Clique Problem,0.96,0.96,0.96,0.96
Nomystery,0.78,0.78,0.74,0.76
Partner Units,0.77,0.77,0.87,0.81
Permutation Pattern Matching,0.24,0.24,0.60,0.33
Ricochet Robots,0.44,0.44,0.54,0.47
Sokoban,0.75,0.75,0.72,0.74
Stable Marriage,0.57,0.57,0.71,0.63
Valves Location Problem,0.72,0.72,0.80,0.76
Overall Results,0.71,0.71,0.75,0.70
