Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.78,0.78,0.78,0.78
Crossing Minimization,0.98,0.98,0.97,0.97
Graceful Graphs,0.91,0.91,0.80,0.84
Graph Colouring,0.87,0.87,0.94,0.90
Incremental Scheduling,0.42,0.42,0.88,0.57
Knight Tour,0.93,0.93,0.91,0.92
Knight Tour With Holes,0.91,0.91,0.82,0.85
Labyrinth,0.92,0.92,0.56,0.63
Maximal Clique Problem,0.97,0.97,0.94,0.95
Nomystery,0.90,0.90,0.86,0.88
Partner Units,0.89,0.89,0.93,0.91
Permutation Pattern Matching,0.36,0.36,0.73,0.47
Ricochet Robots,0.53,0.53,0.48,0.49
Sokoban,0.72,0.72,0.78,0.74
Stable Marriage,0.50,0.50,0.74,0.58
Valves Location Problem,0.80,0.80,0.85,0.82
Overall Results,0.77,0.77,0.81,0.77
