Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.94,0.94,0.95,0.94
Graceful Graphs,0.97,0.97,0.90,0.93
Graph Colouring,0.77,0.77,0.85,0.79
Incremental Scheduling,0.44,0.44,0.82,0.57
Knight Tour,0.71,0.71,1.00,0.73
Knight Tour With Holes,0.98,0.98,0.96,0.97
Labyrinth,0.98,0.98,0.93,0.95
Maximal Clique Problem,0.90,0.90,0.97,0.93
Nomystery,0.94,0.94,0.89,0.91
Partner Units,0.94,0.94,0.98,0.95
Permutation Pattern Matching,0.46,0.46,0.73,0.55
Ricochet Robots,0.66,0.66,0.63,0.63
Sokoban,0.82,0.82,0.85,0.83
Stable Marriage,0.55,0.55,0.81,0.65
Valves Location Problem,0.81,0.81,0.91,0.86
Overall Results,0.80,0.80,0.89,0.82
