Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.96,0.96,0.96,0.96
Graceful Graphs,0.96,0.96,0.92,0.94
Graph Colouring,0.73,0.73,0.84,0.77
Incremental Scheduling,0.46,0.46,0.83,0.58
Knight Tour,0.72,0.72,1.00,0.74
Knight Tour With Holes,0.96,0.96,0.93,0.94
Labyrinth,0.98,0.98,0.92,0.94
Maximal Clique Problem,0.88,0.88,0.97,0.92
Nomystery,0.94,0.94,0.90,0.92
Partner Units,0.91,0.91,0.98,0.94
Permutation Pattern Matching,0.42,0.42,0.71,0.51
Ricochet Robots,0.70,0.70,0.65,0.67
Sokoban,0.84,0.84,0.89,0.86
Stable Marriage,0.54,0.54,0.81,0.64
Valves Location Problem,0.79,0.79,0.91,0.84
Overall Results,0.80,0.80,0.89,0.82
