Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.95,0.95,0.96,0.96
Graceful Graphs,0.98,0.98,0.93,0.95
Graph Colouring,0.76,0.76,0.92,0.81
Incremental Scheduling,0.45,0.45,0.90,0.59
Knight Tour,0.79,0.79,0.99,0.80
Knight Tour With Holes,0.98,0.98,0.96,0.97
Labyrinth,0.96,0.96,0.69,0.71
Maximal Clique Problem,0.94,0.94,0.98,0.96
Nomystery,0.96,0.96,0.92,0.93
Partner Units,0.97,0.97,0.98,0.97
Permutation Pattern Matching,0.53,0.53,0.74,0.59
Ricochet Robots,0.68,0.68,0.49,0.56
Sokoban,0.85,0.85,0.85,0.84
Stable Marriage,0.59,0.59,0.89,0.70
Valves Location Problem,0.81,0.81,0.92,0.86
Overall Results,0.82,0.82,0.88,0.82
