Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.47,0.47,1.00,0.54
Crossing Minimization,0.92,0.92,0.93,0.92
Graceful Graphs,0.96,0.96,0.94,0.95
Graph Colouring,0.79,0.79,0.86,0.82
Incremental Scheduling,0.78,0.78,0.78,0.76
Knight Tour,0.58,0.58,0.58,0.58
Knight Tour With Holes,0.79,0.79,0.79,0.79
Labyrinth,0.96,0.96,0.51,0.58
Maximal Clique Problem,0.97,0.97,0.92,0.94
Nomystery,0.96,0.96,0.81,0.88
Partner Units,0.25,0.25,0.23,0.24
Permutation Pattern Matching,0.69,0.69,0.68,0.69
Ricochet Robots,0.75,0.75,0.60,0.66
Sokoban,0.78,0.78,0.66,0.71
Stable Marriage,0.73,0.73,0.73,0.73
Valves Location Problem,0.90,0.90,0.91,0.90
Overall Results,0.77,0.77,0.75,0.73
