problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,154,13109,4.8125,4.0,1.3545026464923717,1.8346774193548387,4,10,409.65625,407.0,4.209125071908382,17.71673387096774,405,414,0.62,0.62,0.62,0.62
Crossing Minimization,32,11427,85136,357.09375,351.0,79.75015800368614,6360.087701612903,232,512,2660.5,2669.0,152.7544941527776,23333.935483870966,2411,2915,0.92,0.92,0.92,0.92
Graceful Graphs,32,1410,16023,44.0625,48.0,9.3461653340615,87.3508064516129,18,72,500.71875,501.0,2.0515041688572584,4.20866935483871,497,504,0.95,0.95,0.86,0.89
Graph Colouring,32,17270,82736,539.6875,517.0,173.05554534366573,29948.22177419355,192,885,2585.5,2557.0,302.85959698162276,91723.93548387097,1774,2965,0.92,0.92,0.93,0.92
Incremental Scheduling,32,31867,437002,995.84375,976.5,200.96735561825344,40387.878024193546,600,1793,13656.3125,12773.0,1206.1739680199669,1454855.6411290322,12423,15237,0.37,0.37,0.7,0.48
Knight Tour,32,8020,30432,250.625,55.0,629.4259929850064,396177.0806451613,21,3479,951.0,966.0,52.62895069838371,2769.8064516129034,867,1033,0.73,0.73,1.0,0.76
Knight Tour With Holes,32,1863,32920,58.21875,64.0,10.805417921191799,116.7570564516129,29,67,1028.75,1030.0,6.319452814205336,39.935483870967744,1006,1038,0.87,0.87,0.79,0.82
Labyrinth,32,19080,112952,596.25,388.5,400.317212929624,160253.87096774194,242,1601,3529.75,3528.5,6.956083436402524,48.38709677419355,3511,3546,0.91,0.91,0.38,0.47
Maximal Clique Problem,32,3603,35090,112.59375,107.0,19.26028736428506,370.9586693548387,86,172,1096.5625,1101.0,14.615364209206074,213.60887096774192,1057,1119,0.95,0.95,0.97,0.95
Nomystery,32,5809,113028,181.53125,179.0,26.54270372376827,704.515120967742,112,245,3532.125,3584.0,139.8025681613758,19544.75806451613,3274,3694,0.84,0.84,0.78,0.81
Partner Units,32,6096,54427,190.5,176.5,29.798246322073513,887.9354838709677,148,256,1700.84375,1697.0,14.721302044009821,216.71673387096774,1694,1775,0.71,0.71,0.78,0.74
Permutation Pattern Matching,32,10273,61588,321.03125,235.5,222.7831991660169,49632.35383064516,165,992,1924.625,1926.5,35.86061726975348,1285.983870967742,1847,1997,0.26,0.26,0.63,0.35
Ricochet Robots,32,5735,108976,179.21875,170.5,32.757894271408446,1073.0796370967741,133,305,3405.5,3398.0,36.65444566620499,1343.5483870967741,3358,3503,0.46,0.46,0.48,0.46
Sokoban,32,12566,249489,392.6875,386.0,64.38815634431036,4145.834677419355,285,557,7796.53125,7717.5,374.0407933915333,139906.51512096773,7389,8892,0.8,0.8,0.8,0.8
Stable Marriage,32,7426,44354,232.0625,231.0,46.668313142997825,2177.9314516129034,154,352,1386.0625,1384.0,9.96101270923536,99.22177419354838,1360,1406,0.56,0.56,0.71,0.62
Valves Location Problem,32,6338,139306,198.0625,198.5,34.94506056747529,1221.157258064516,117,291,4353.3125,4346.0,67.83492178003323,4601.576612903225,4229,4499,0.73,0.73,0.8,0.76
