problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,356,5365,11.125,10.0,5.655428451297208,31.983870967741936,4,18,167.65625,165.0,4.209125071908382,17.71673387096774,163,172,0.66,0.66,1.0,0.77
Crossing Minimization,32,12308,16108,384.625,387.0,111.93049398564703,12528.435483870968,152,589,503.375,505.5,38.1886235381944,1458.3709677419354,441,567,0.77,0.77,0.81,0.78
Graceful Graphs,32,1494,7319,46.6875,48.0,3.954886728119791,15.641129032258064,36,54,228.71875,229.0,2.0515041688572584,4.20866935483871,225,232,0.81,0.81,0.78,0.79
Graph Colouring,32,23175,21200,724.21875,596.5,592.6781063120292,351267.3377016129,180,3724,662.5,653.0,100.95319899387425,10191.548387096775,392,789,0.69,0.69,0.79,0.71
Incremental Scheduling,32,15868,29859,495.875,443.5,243.9616244279997,59517.27419354839,269,1523,933.09375,870.0,86.15528342999764,7422.732862903225,845,1046,0.81,0.81,0.74,0.75
Knight Tour,32,1295,8704,40.46875,45.0,16.861837758104695,284.3215725806452,11,71,272.0,279.5,26.314475349191856,692.4516129032259,230,313,0.53,0.53,0.53,0.53
Knight Tour With Holes,32,1937,10220,60.53125,58.0,7.666367163387817,58.77318548387097,51,89,319.375,320.0,3.159726407102668,9.983870967741936,308,324,0.38,0.38,0.38,0.38
Labyrinth,32,34989,24312,1093.40625,864.0,995.5447158465561,991109.28125,81,3956,759.75,759.5,1.3912166872805047,1.935483870967742,756,763,0.92,0.92,0.58,0.6
Maximal Clique Problem,32,2852,11993,89.125,97.5,21.744483913056232,472.8225806451613,51,129,374.78125,377.0,7.307682104603037,53.40221774193548,355,386,0.93,0.93,0.73,0.8
Nomystery,32,5356,19636,167.375,177.0,32.95818465091594,1086.241935483871,82,211,613.625,624.0,27.960513632275163,781.7903225806451,562,646,0.95,0.95,0.74,0.82
Partner Units,32,5346,10665,167.0625,175.0,33.61925091756306,1130.2540322580646,120,253,333.28125,332.0,4.907100681336607,24.079637096774192,331,358,0.17,0.17,0.14,0.15
Permutation Pattern Matching,32,3456,12700,108.0,101.0,28.4548312129037,809.6774193548387,68,195,396.875,397.5,11.953539089917829,142.88709677419354,371,421,0.45,0.45,0.44,0.45
Ricochet Robots,32,4847,23824,151.46875,145.5,28.846629338512816,832.1280241935484,102,196,744.5,743.0,7.3308891332409996,53.74193548387097,735,764,0.75,0.75,0.61,0.67
Sokoban,32,12049,29833,376.53125,361.5,78.20856498553579,6116.579637096775,231,546,932.28125,923.5,41.56008815461482,1727.2409274193549,887,1054,0.7,0.7,0.61,0.65
Stable Marriage,32,5786,17185,180.8125,176.0,28.070691293187267,787.9637096774194,132,319,537.03125,536.0,4.98050635461768,24.805443548387096,524,547,0.76,0.76,0.77,0.76
Valves Location Problem,32,6393,17879,199.78125,185.5,48.09046205145653,2312.6925403225805,126,305,558.71875,557.5,11.305820296672204,127.82157258064517,538,583,0.87,0.87,0.87,0.87
