problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,1138,6741,35.5625,39.0,7.330614109732311,53.73790322580645,25,49,210.65625,208.0,4.209125071908382,17.71673387096774,206,215,0.48,0.48,0.75,0.57
Crossing Minimization,32,29271,17484,914.71875,889.5,232.08622346224635,53864.01512096774,431,1361,546.375,548.5,38.1886235381944,1458.3709677419354,484,610,0.83,0.83,0.73,0.77
Graceful Graphs,32,4783,8695,149.46875,154.0,10.210634478405977,104.2570564516129,118,154,271.71875,272.0,2.0515041688572584,4.20866935483871,268,275,0.84,0.84,0.81,0.83
Graph Colouring,32,54491,21789,1702.84375,1681.5,802.4627861686073,643946.5231854839,0,3856,680.90625,694.0,159.40116957821616,25408.732862903227,0,832,0.86,0.86,0.8,0.81
Incremental Scheduling,32,36860,31235,1151.875,1152.0,255.8115170551641,65439.532258064515,659,1565,976.09375,913.0,86.15528342999764,7422.732862903225,888,1089,0.85,0.85,0.65,0.73
Knight Tour,32,2958,10080,92.4375,104.0,41.181688304547485,1695.9314516129032,28,163,315.0,322.5,26.314475349191856,692.4516129032259,273,356,0.61,0.61,0.61,0.61
Knight Tour With Holes,32,5601,11596,175.03125,174.0,10.44643595651399,109.12802419354838,154,194,362.375,363.0,3.159726407102668,9.983870967741936,351,367,0.45,0.45,0.45,0.45
Labyrinth,32,39534,24885,1235.4375,740.5,1249.6175915054973,1561544.125,0,5360,777.65625,802.0,141.91287862969924,20139.265120967742,0,806,0.92,0.92,0.28,0.35
Maximal Clique Problem,32,9540,13401,298.125,304.5,49.195954462576196,2420.2419354838707,166,382,418.78125,421.0,7.307682104603037,53.40221774193548,399,430,0.95,0.95,0.83,0.88
Nomystery,32,16107,21083,503.34375,502.5,77.60845039414616,6023.071572580645,315,661,658.84375,669.0,28.08180374571589,788.5877016129032,608,691,0.96,0.96,0.71,0.81
Partner Units,32,11310,12361,353.4375,350.0,84.43853939691206,7129.866935483871,191,499,386.28125,385.0,4.907100681336607,24.079637096774192,384,411,0.1,0.1,0.06,0.07
Permutation Pattern Matching,32,9786,14076,305.8125,312.0,37.757663182885906,1425.641129032258,190,399,439.875,440.5,11.953539089917829,142.88709677419354,414,464,0.33,0.33,0.31,0.32
Ricochet Robots,32,9988,25200,312.125,302.5,46.344258787692844,2147.7903225806454,233,454,787.5,786.0,7.3308891332409996,53.74193548387097,778,807,0.87,0.87,0.56,0.68
Sokoban,32,24883,31273,777.59375,705.5,236.7124101541103,56032.76512096774,442,1761,977.28125,968.5,41.56008815461482,1727.2409274193549,932,1099,0.86,0.86,0.68,0.75
Stable Marriage,32,13889,18625,434.03125,426.0,64.8703343775725,4208.160282258064,348,738,582.03125,581.0,4.98050635461768,24.805443548387096,569,592,0.74,0.74,0.75,0.74
Valves Location Problem,32,18990,19276,593.4375,619.5,103.38869268055163,10689.22177419355,375,841,602.375,601.5,11.335784048754634,128.5,581,627,0.02,0.02,0.02,0.02
