problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,166,13109,5.1875,4.5,1.7494238682971437,3.060483870967742,4,11,409.65625,407.0,4.209125071908382,17.71673387096774,405,414,0.48,0.48,0.5,0.49
Crossing Minimization,32,11735,85136,366.71875,359.5,88.5981265275601,7849.628024193548,226,532,2660.5,2669.0,152.7544941527776,23333.935483870966,2411,2915,0.88,0.88,0.89,0.88
Graceful Graphs,32,1320,16023,41.25,42.0,8.72149735590353,76.06451612903226,18,54,500.71875,501.0,2.0515041688572584,4.20866935483871,497,504,0.99,0.99,0.84,0.9
Graph Colouring,32,16121,82736,503.78125,545.0,140.025512508349,19607.144153225807,168,808,2585.5,2557.0,302.85959698162276,91723.93548387097,1774,2965,0.94,0.94,0.91,0.92
Incremental Scheduling,32,31050,437002,970.3125,958.5,148.7354086093609,22122.22177419355,696,1348,13656.3125,12773.0,1206.1739680199669,1454855.6411290322,12423,15237,0.37,0.37,0.71,0.49
Knight Tour,32,18327,30432,572.71875,55.0,1255.268181971229,1575698.208669355,34,4454,951.0,966.0,52.62895069838371,2769.8064516129034,867,1033,0.72,0.72,1.0,0.75
Knight Tour With Holes,32,1951,32920,60.96875,64.0,5.910539383715467,34.934475806451616,36,71,1028.75,1030.0,6.319452814205336,39.935483870967744,1006,1038,0.85,0.85,0.83,0.84
Labyrinth,32,18320,112952,572.5,371.5,377.83449184240243,142758.90322580645,211,1550,3529.75,3528.5,6.956083436402524,48.38709677419355,3511,3546,0.87,0.87,0.37,0.46
Maximal Clique Problem,32,3444,35090,107.625,108.0,13.827858743108235,191.20967741935485,75,154,1096.5625,1101.0,14.615364209206074,213.60887096774192,1057,1119,0.96,0.96,0.96,0.96
Nomystery,32,6035,113063,188.59375,185.5,28.260150189085646,798.6360887096774,136,265,3533.21875,3584.0,140.40901872857947,19714.69254032258,3279,3694,0.78,0.78,0.74,0.76
Partner Units,32,6237,55195,194.90625,175.0,43.952583963821446,1931.8296370967741,165,333,1724.84375,1721.0,14.721302044009821,216.71673387096774,1718,1799,0.77,0.77,0.87,0.81
Permutation Pattern Matching,32,10592,61588,331.0,248.0,221.460110731394,49044.58064516129,164,1037,1924.625,1926.5,35.86061726975348,1285.983870967742,1847,1997,0.24,0.24,0.6,0.33
Ricochet Robots,32,6354,108976,198.5625,197.0,55.44479236141118,3074.125,126,352,3405.5,3398.0,36.65444566620499,1343.5483870967741,3358,3503,0.44,0.44,0.54,0.47
Sokoban,32,12418,249489,388.0625,386.5,61.710530026317485,3808.189516129032,283,533,7796.53125,7717.5,374.0407933915333,139906.51512096773,7389,8892,0.75,0.75,0.72,0.74
Stable Marriage,32,7480,44354,233.75,231.0,75.69633732137221,5729.935483870968,154,572,1386.0625,1384.0,9.96101270923536,99.22177419354838,1360,1406,0.57,0.57,0.71,0.63
Valves Location Problem,32,6455,139432,201.71875,198.0,38.794940121519176,1505.047379032258,134,342,4357.25,4352.0,68.01470429252781,4626.0,4229,4505,0.72,0.72,0.8,0.76
