problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,351,9909,10.96875,11.0,0.30946102990886926,0.09576612903225806,10,12,309.65625,307.0,4.209125071908382,17.71673387096774,305,314,0.78,0.78,0.78,0.78
Crossing Minimization,32,21720,71760,678.75,646.0,176.43951718877054,31130.90322580645,419,1175,2242.5,2251.0,152.7544941527776,23333.935483870966,1993,2497,0.98,0.98,0.97,0.97
Graceful Graphs,32,2107,12695,65.84375,63.0,20.47832745028974,419.3618951612903,21,131,396.71875,397.0,2.0515041688572584,4.20866935483871,393,400,0.91,0.91,0.8,0.84
Graph Colouring,32,26874,73008,839.8125,749.0,320.90772842250203,102981.77016129032,225,1784,2281.5,2253.0,302.85959698162276,91723.93548387097,1470,2661,0.87,0.87,0.94,0.9
Incremental Scheduling,32,50936,389418,1591.75,1346.0,650.6120195631188,423296.0,1082,4155,12169.3125,11286.0,1206.1739680199669,1454855.6411290322,10936,13750,0.42,0.42,0.88,0.57
Knight Tour,32,2207,23264,68.96875,72.0,21.463373716411,460.67641129032256,18,112,727.0,742.0,52.62895069838371,2769.8064516129034,643,809,0.93,0.93,0.91,0.92
Knight Tour With Holes,32,2450,26424,76.5625,75.0,22.013100937923895,484.5766129032258,39,124,825.75,827.0,6.319452814205336,39.935483870967744,803,835,0.91,0.91,0.82,0.85
Labyrinth,32,37394,96376,1168.5625,1098.0,635.5809604275954,403963.15725806454,359,3294,3011.75,3010.5,6.956083436402524,48.38709677419355,2993,3028,0.92,0.92,0.56,0.63
Maximal Clique Problem,32,6389,28562,199.65625,199.0,24.90576999476744,620.297379032258,156,243,892.5625,897.0,14.615364209206074,213.60887096774192,853,915,0.97,0.97,0.94,0.95
Nomystery,32,10261,96071,320.65625,307.5,68.10978300011372,4638.9425403225805,236,514,3002.21875,3053.0,140.40901872857947,19714.69254032258,2748,3163,0.9,0.9,0.86,0.88
Partner Units,32,9245,44955,288.90625,285.0,80.95174164776476,6553.184475806452,197,612,1404.84375,1401.0,14.721302044009821,216.71673387096774,1398,1479,0.89,0.89,0.93,0.91
Permutation Pattern Matching,32,13019,51828,406.84375,309.0,287.90479041998276,82889.1683467742,173,1644,1619.625,1621.5,35.86061726975348,1285.983870967742,1542,1692,0.36,0.36,0.73,0.47
Ricochet Robots,32,7490,92304,234.0625,226.0,61.15392398983763,3739.8024193548385,133,385,2884.5,2877.0,36.65444566620499,1343.5483870967741,2837,2982,0.53,0.53,0.48,0.49
Sokoban,32,149632,219537,4676.0,600.5,15954.867804064103,254557806.6451613,338,82296,6860.53125,6781.5,374.0407933915333,139906.51512096773,6453,7956,0.72,0.72,0.78,0.74
Stable Marriage,32,15475,36898,483.59375,397.5,480.4839535687917,230864.8296370968,175,3041,1153.0625,1151.0,9.96101270923536,99.22177419354838,1127,1173,0.5,0.5,0.74,0.58
Valves Location Problem,32,9069,119464,283.40625,271.5,71.10322318133119,5055.668346774193,187,477,3733.25,3728.0,68.01470429252781,4626.0,3605,3881,0.8,0.8,0.85,0.82
