problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,160,5365,5.0,5.0,0.0,0.0,5,5,167.65625,165.0,4.209125071908382,17.71673387096774,163,172,1.0,1.0,1.0,1.0
Crossing Minimization,32,12170,16108,380.3125,368.0,101.7173304927958,10346.415322580646,233,655,503.375,505.5,38.1886235381944,1458.3709677419354,441,567,0.87,0.87,0.9,0.88
Graceful Graphs,32,1520,7319,47.5,49.0,5.494865638675506,30.193548387096776,31,61,228.71875,229.0,2.0515041688572584,4.20866935483871,225,232,0.89,0.89,0.86,0.87
Graph Colouring,32,20380,21200,636.875,613.0,280.89163907675464,78900.1129032258,181,1561,662.5,653.0,100.95319899387425,10191.548387096775,392,789,0.74,0.74,0.8,0.75
Incremental Scheduling,32,15832,29859,494.75,457.0,145.35340691991297,21127.612903225807,338,918,933.09375,870.0,86.15528342999764,7422.732862903225,845,1046,0.86,0.86,0.81,0.83
Knight Tour,32,1284,8704,40.125,46.0,20.861679640416178,435.2096774193548,7,72,272.0,279.5,26.314475349191856,692.4516129032259,230,313,0.58,0.58,0.58,0.58
Knight Tour With Holes,32,1895,10220,59.21875,59.0,2.99175614626421,8.950604838709678,53,68,319.375,320.0,3.159726407102668,9.983870967741936,308,324,0.49,0.49,0.49,0.49
Labyrinth,32,28772,24312,899.125,447.5,858.0595418846846,736266.1774193548,115,3024,759.75,759.5,1.3912166872805047,1.935483870967742,756,763,0.98,0.98,0.53,0.59
Maximal Clique Problem,32,2852,12025,89.125,100.0,24.20310563916633,585.7903225806451,45,119,375.78125,378.0,7.307682104603037,53.40221774193548,356,387,0.96,0.96,0.74,0.81
Nomystery,32,5518,19707,172.4375,180.0,32.61697311958716,1063.866935483871,116,228,615.84375,626.0,28.08180374571589,788.5877016129032,565,648,0.97,0.97,0.77,0.85
Partner Units,32,4617,10985,144.28125,131.0,23.716381129315824,562.4667338709677,131,222,343.28125,342.0,4.907100681336607,24.079637096774192,341,368,0.19,0.19,0.16,0.17
Permutation Pattern Matching,32,412343,12700,12885.71875,102.0,30182.993639587494,911013105.047379,67,81920,396.875,397.5,11.953539089917829,142.88709677419354,371,421,0.23,0.23,0.21,0.22
Ricochet Robots,32,4767,23824,148.96875,143.5,27.769191997491543,771.1280241935484,110,203,744.5,743.0,7.3308891332409996,53.74193548387097,735,764,0.74,0.74,0.59,0.65
Sokoban,32,11743,29897,366.96875,364.0,77.15651640784172,5953.128024193548,221,542,934.28125,925.5,41.56008815461482,1727.2409274193549,889,1056,0.84,0.84,0.74,0.79
Stable Marriage,32,5675,17249,177.34375,177.0,25.83272415167967,667.3296370967741,144,309,539.03125,538.0,4.98050635461768,24.805443548387096,526,549,0.75,0.75,0.74,0.74
Valves Location Problem,32,6210,17900,194.0625,182.0,45.90097159699768,2106.8991935483873,134,332,559.375,558.5,11.335784048754634,128.5,538,584,0.91,0.91,0.91,0.91
