problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,161,13173,5.03125,5.0,0.1767766952966369,0.03125,5,6,411.65625,409.0,4.209125071908382,17.71673387096774,407,416,0.75,0.75,0.75,0.75
Crossing Minimization,32,10878,85392,339.9375,342.0,72.79841255802039,5299.6088709677415,228,486,2668.5,2677.0,152.7544941527776,23333.935483870966,2419,2923,0.45,0.45,0.43,0.44
Graceful Graphs,32,1322,16087,41.3125,43.0,9.423503560504379,88.8024193548387,19,55,502.71875,503.0,2.0515041688572584,4.20866935483871,499,506,0.97,0.97,0.82,0.87
Graph Colouring,32,16131,81979,504.09375,490.0,145.31863974195332,21117.507056451614,171,909,2561.84375,2557.0,322.74339246378423,104163.29737903226,1780,2971,0.91,0.91,0.87,0.88
Incremental Scheduling,32,110895,437322,3465.46875,716.5,14467.344233143907,209304049.16028225,541,82535,13666.3125,12783.0,1206.1739680199669,1454855.6411290322,12433,15247,0.45,0.45,0.67,0.53
Knight Tour,32,2667,30560,83.34375,49.0,144.07045977240531,20756.297379032258,23,751,955.0,970.0,52.62895069838371,2769.8064516129034,871,1037,0.75,0.75,0.97,0.8
Knight Tour With Holes,32,1730,33048,54.0625,60.0,12.252550754842845,150.125,27,66,1032.75,1034.0,6.319452814205336,39.935483870967744,1010,1042,0.93,0.93,0.8,0.84
Labyrinth,32,19659,112574,614.34375,370.0,649.0252050066091,421233.71673387097,274,3612,3517.9375,3538.5,124.26738536122875,15442.383064516129,2838,3556,0.92,0.92,0.34,0.44
Maximal Clique Problem,32,3353,35218,104.78125,103.5,9.26921500312694,85.91834677419355,85,122,1100.5625,1105.0,14.615364209206074,213.60887096774192,1061,1123,0.99,0.99,0.96,0.97
Nomystery,32,5468,113095,170.875,166.0,28.10435622300709,789.8548387096774,135,251,3534.21875,3585.0,140.40901872857947,19714.69254032258,3280,3695,0.84,0.84,0.72,0.77
Partner Units,32,5956,55195,186.125,173.0,37.54717462846765,1409.7903225806451,138,312,1724.84375,1721.0,14.721302044009821,216.71673387096774,1718,1799,0.72,0.72,0.76,0.73
Permutation Pattern Matching,32,90060,61876,2814.375,181.0,14468.521815730108,209338123.53225806,138,82096,1933.625,1935.5,35.86061726975348,1285.983870967742,1856,2006,0.35,0.35,0.67,0.44
Ricochet Robots,32,86488,109104,2702.75,146.0,14477.971355844202,209611654.58064517,84,82043,3409.5,3402.0,36.65444566620499,1343.5483870967741,3362,3507,0.5,0.5,0.39,0.44
Sokoban,32,11745,249585,367.03125,363.5,35.470555144486596,1258.1602822580646,292,450,7799.53125,7720.5,374.0407933915333,139906.51512096773,7392,8895,0.83,0.83,0.81,0.82
Stable Marriage,32,8005,44386,250.15625,255.0,58.383663962978,3408.6522177419356,101,365,1387.0625,1385.0,9.96101270923536,99.22177419354838,1361,1407,0.54,0.54,0.75,0.62
Valves Location Problem,32,4985,139624,155.78125,155.0,24.439173175127486,597.273185483871,113,214,4363.25,4358.0,68.01470429252781,4626.0,4235,4511,0.86,0.86,0.8,0.82
