problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,2665,10581,83.28125,14.5,141.86846119648322,20126.660282258064,8,700,330.65625,328.0,4.209125071908382,17.71673387096774,326,335,0.47,0.47,1.0,0.54
Crossing Minimization,32,11920,26284,372.5,361.0,90.92783384498905,8267.870967741936,234,616,821.375,823.5,38.1886235381944,1458.3709677419354,759,885,0.87,0.87,0.91,0.89
Graceful Graphs,32,1512,10519,47.25,48.0,2.9512162610277883,8.709677419354838,42,54,328.71875,329.0,2.0515041688572584,4.20866935483871,325,332,0.96,0.96,0.94,0.95
Graph Colouring,32,21555,23952,673.59375,648.5,272.12388774647854,74051.41028225806,186,1259,748.5,739.0,100.95319899387425,10191.548387096775,478,875,0.72,0.72,0.85,0.77
Incremental Scheduling,32,18653,51299,582.90625,540.0,260.9804540172161,68110.79737903226,354,1886,1603.09375,1540.0,86.15528342999764,7422.732862903225,1515,1716,0.78,0.78,0.82,0.79
Knight Tour,32,1543,10656,48.21875,45.0,50.68799843635445,2569.2731854838707,8,306,333.0,340.5,26.314475349191856,692.4516129032259,291,374,0.5,0.5,0.5,0.5
Knight Tour With Holes,32,1911,12524,59.71875,62.0,3.061038986589252,9.369959677419354,52,62,391.375,392.0,3.159726407102668,9.983870967741936,380,396,0.75,0.75,0.74,0.75
Labyrinth,32,49499,36312,1546.84375,1343.0,1147.5961161341254,1316976.845766129,216,5667,1134.75,1134.5,1.3912166872805047,1.935483870967742,1131,1138,0.94,0.94,0.78,0.8
Maximal Clique Problem,32,3372,17625,105.375,105.0,12.584552743023309,158.3709677419355,84,134,550.78125,553.0,7.307682104603037,53.40221774193548,531,562,0.95,0.95,0.9,0.92
Nomystery,32,5373,36564,167.90625,171.5,25.050090946972887,627.5070564516129,123,217,1142.625,1153.0,27.960513632275163,781.7903225806451,1091,1175,0.91,0.91,0.68,0.78
Partner Units,32,6610,17737,206.5625,205.0,34.154239806709114,1166.5120967741937,165,266,554.28125,553.0,4.907100681336607,24.079637096774192,552,579,0.25,0.25,0.24,0.25
Permutation Pattern Matching,32,3630,20924,113.4375,101.0,33.47694199238172,1120.7056451612902,83,213,653.875,654.5,11.953539089917829,142.88709677419354,628,678,0.63,0.63,0.66,0.64
Ricochet Robots,32,4521,29936,141.28125,131.0,32.38202844370674,1048.5957661290322,96,224,935.5,934.0,7.3308891332409996,53.74193548387097,926,955,0.81,0.81,0.61,0.69
Sokoban,32,12927,39337,403.96875,392.0,118.86410901231002,14128.676411290322,166,749,1229.28125,1220.5,41.56008815461482,1727.2409274193549,1184,1351,0.65,0.65,0.57,0.6
Stable Marriage,32,5753,27329,179.78125,176.0,16.437043873224972,270.17641129032256,143,231,854.03125,853.0,4.98050635461768,24.805443548387096,841,864,0.71,0.71,0.71,0.71
Valves Location Problem,32,6018,31767,188.0625,175.0,45.35447305179999,2057.0282258064517,141,341,992.71875,991.5,11.305820296672204,127.82157258064517,972,1017,0.9,0.9,0.9,0.89
