problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,1106,11925,34.5625,39.0,6.55959036879984,43.028225806451616,25,39,372.65625,370.0,4.209125071908382,17.71673387096774,368,377,0.66,0.66,1.0,0.77
Crossing Minimization,32,31231,27628,975.96875,911.0,241.73852634813454,58437.51512096774,407,1498,863.375,865.5,38.1886235381944,1458.3709677419354,801,927,0.86,0.86,0.81,0.83
Graceful Graphs,32,4856,11863,151.75,154.0,7.581811852568087,57.483870967741936,118,154,370.71875,371.0,2.0515041688572584,4.20866935483871,367,374,0.99,0.99,0.98,0.98
Graph Colouring,32,226820,25296,7088.125,2022.0,19653.89198549283,386275470.17741936,563,81920,790.5,781.0,100.95319899387425,10191.548387096775,520,917,0.72,0.72,0.79,0.73
Incremental Scheduling,32,115134,52643,3597.9375,1059.5,14293.38825705562,204300947.8669355,735,81920,1645.09375,1582.0,86.15528342999764,7422.732862903225,1557,1758,0.87,0.87,0.69,0.76
Knight Tour,32,3032,12000,94.75,97.0,36.24913792078372,1314.0,40,160,375.0,382.5,26.314475349191856,692.4516129032259,333,416,0.97,0.97,0.98,0.97
Knight Tour With Holes,32,5531,13868,172.84375,177.0,7.269509345824672,52.845766129032256,154,180,433.375,434.0,3.159726407102668,9.983870967741936,422,438,0.87,0.87,0.85,0.86
Labyrinth,32,133480,35302,4171.25,1216.0,14249.62133056581,203051708.06451613,0,81920,1103.1875,1176.0,289.4027707360063,83753.96370967742,0,1180,0.84,0.84,0.34,0.41
Maximal Clique Problem,32,9678,19033,302.4375,307.5,51.46996462078166,2649.157258064516,166,382,594.78125,597.0,7.307682104603037,53.40221774193548,575,606,1.0,1.0,0.88,0.93
Nomystery,32,16115,37979,503.59375,502.5,62.63198161456926,3922.765120967742,396,627,1186.84375,1197.0,28.08180374571589,788.5877016129032,1136,1219,0.96,0.96,0.77,0.85
Partner Units,32,13320,19401,416.25,418.0,62.1444726735288,3861.935483870968,318,634,606.28125,605.0,4.907100681336607,24.079637096774192,604,631,0.21,0.21,0.19,0.2
Permutation Pattern Matching,32,9606,22268,300.1875,314.0,24.23731793423442,587.4475806451613,245,335,695.875,696.5,11.953539089917829,142.88709677419354,670,720,0.62,0.62,0.6,0.61
Ricochet Robots,32,10899,31280,340.59375,321.0,57.370251578052475,3291.345766129032,255,497,977.5,976.0,7.3308891332409996,53.74193548387097,968,997,0.79,0.79,0.56,0.66
Sokoban,32,105791,40745,3305.96875,745.0,14346.867745113082,205832614.09576613,475,81920,1273.28125,1264.5,41.56008815461482,1727.2409274193549,1228,1395,0.81,0.81,0.63,0.7
Stable Marriage,32,13528,28737,422.75,426.0,19.07371100790046,363.80645161290323,354,452,898.03125,897.0,4.98050635461768,24.805443548387096,885,908,0.67,0.67,0.67,0.67
Valves Location Problem,32,15212,33132,475.375,456.5,73.43759694571501,5393.080645161291,310,658,1035.375,1034.5,11.335784048754634,128.5,1014,1060,0.96,0.96,0.86,0.9
