problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,128,19573,4.0,4.0,0.0,0.0,4,4,611.65625,609.0,4.209125071908382,17.71673387096774,607,616,1.0,1.0,1.0,1.0
Crossing Minimization,32,11787,141200,368.34375,356.0,106.2284845388437,11284.490927419354,220,661,4412.5,4421.0,152.7544941527776,23333.935483870966,4163,4667,0.96,0.96,0.96,0.96
Graceful Graphs,32,1506,19799,47.0625,48.0,8.500237188341542,72.25403225806451,30,84,618.71875,619.0,2.0515041688572584,4.20866935483871,615,622,0.96,0.96,0.92,0.94
Graph Colouring,32,20237,99728,632.40625,601.0,269.301349298274,72523.21673387097,168,1608,3116.5,3088.0,302.85959698162276,91723.93548387097,2305,3496,0.73,0.73,0.84,0.77
Incremental Scheduling,32,32981,851850,1030.65625,920.0,504.35679954770114,254375.78125,692,3572,26620.3125,25737.0,1206.1739680199669,1454855.6411290322,25387,28201,0.46,0.46,0.83,0.58
Knight Tour,32,17189,40928,537.15625,51.0,1342.7415649641066,1802954.9102822582,43,6560,1279.0,1294.0,52.62895069838371,2769.8064516129034,1195,1361,0.72,0.72,1.0,0.74
Knight Tour With Holes,32,1930,43480,60.3125,60.0,6.962746491843388,48.479838709677416,46,71,1358.75,1360.0,6.319452814205336,39.935483870967744,1336,1368,0.96,0.96,0.93,0.94
Labyrinth,32,53132,228952,1660.375,1519.0,778.4519688085678,605987.4677419355,262,3047,7154.75,7153.5,6.956083436402524,48.38709677419355,7136,7171,0.98,0.98,0.92,0.94
Maximal Clique Problem,32,4198,54162,131.1875,113.5,64.96968896239974,4221.060483870968,92,472,1692.5625,1697.0,14.615364209206074,213.60887096774192,1653,1715,0.88,0.88,0.97,0.92
Nomystery,32,6082,230823,190.0625,189.5,26.64332816079611,709.866935483871,140,246,7213.21875,7264.0,140.40901872857947,19714.69254032258,6959,7374,0.94,0.94,0.9,0.92
Partner Units,32,6032,83707,188.5,173.0,41.83839878512592,1750.4516129032259,165,333,2615.84375,2612.0,14.721302044009821,216.71673387096774,2609,2690,0.91,0.91,0.98,0.94
Permutation Pattern Matching,32,10629,91732,332.15625,166.5,729.0505584209308,531514.7167338709,107,4258,2866.625,2868.5,35.86061726975348,1285.983870967742,2789,2939,0.42,0.42,0.71,0.51
Ricochet Robots,32,5002,198416,156.3125,156.5,27.071515204802832,732.866935483871,111,206,6200.5,6193.0,36.65444566620499,1343.5483870967741,6153,6298,0.7,0.7,0.65,0.67
Sokoban,32,13167,442161,411.46875,405.5,46.142125721828556,2129.095766129032,307,538,13817.53125,13738.5,374.0407933915333,139906.51512096773,13410,14913,0.84,0.84,0.89,0.86
Stable Marriage,32,8800,75458,275.0,269.5,48.634913783306715,2365.3548387096776,143,418,2358.0625,2356.0,9.96101270923536,99.22177419354838,2332,2378,0.54,0.54,0.81,0.64
Valves Location Problem,32,6615,247144,206.71875,209.0,25.04735434486883,627.3699596774194,141,280,7723.25,7718.0,68.01470429252781,4626.0,7595,7871,0.79,0.79,0.91,0.84
