Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.74,0.74,0.74,0.74
Graceful Graphs,0.98,0.98,0.91,0.94
Graph Colouring,0.79,0.79,0.80,0.78
Incremental Scheduling,0.50,0.50,0.67,0.56
Knight Tour,0.76,0.76,0.99,0.79
Knight Tour With Holes,0.97,0.97,0.94,0.95
Labyrinth,0.99,0.99,0.90,0.92
Maximal Clique Problem,0.92,0.92,0.98,0.94
Nomystery,0.95,0.95,0.83,0.88
Partner Units,0.93,0.93,0.99,0.96
Permutation Pattern Matching,0.50,0.50,0.66,0.55
Ricochet Robots,0.70,0.70,0.50,0.58
Sokoban,0.86,0.86,0.89,0.87
Stable Marriage,0.58,0.58,0.80,0.65
Valves Location Problem,0.87,0.87,0.89,0.88
Overall Results,0.81,0.81,0.84,0.81
